,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample_freq,state,params_n_estimators
64,64,0.1870895030694471,2023-06-29 13:17:21.393496,2023-06-29 13:17:23.445626,0 days 00:00:02.052130,goss,0.5828211110556235,0.059719100094886596,41,5,10,46,4.9484316420402496e-05,5.861646680684124e-08,6,COMPLETE,199
353,353,0.18710722940233432,2023-06-29 13:29:13.344221,2023-06-29 13:29:14.556697,0 days 00:00:01.212476,goss,0.5730983310756756,0.0812191169471437,45,6,10,63,3.3557699694100894e-05,3.7332651456637846e-07,3,COMPLETE,135
253,253,0.18713008784271698,2023-06-29 13:24:30.871818,2023-06-29 13:24:33.082619,0 days 00:00:02.210801,goss,0.504234456463632,0.04450213715284378,52,5,9,40,0.0008343427928973303,3.1327310925179584e-08,4,COMPLETE,240
733,733,0.18713666102451829,2023-06-29 13:55:41.909470,2023-06-29 13:55:47.048710,0 days 00:00:05.139240,goss,0.48995664591922505,0.011517118039799091,41,5,14,52,5.084492533434428e-06,1.4882600923844583e-08,5,COMPLETE,899
539,539,0.1871495877433053,2023-06-29 13:39:42.256279,2023-06-29 13:39:44.045709,0 days 00:00:01.789430,goss,0.5259256062854377,0.051819006854713336,35,5,14,49,0.1146276915801614,0.00015944507391888127,3,COMPLETE,239
87,87,0.18720360992740406,2023-06-29 13:18:08.728274,2023-06-29 13:18:10.302861,0 days 00:00:01.574587,goss,0.48851511816537546,0.08050464636608158,45,6,10,34,6.95088769926828e-05,1.0104444646400966e-08,5,COMPLETE,138
684,684,0.18720720456433332,2023-06-29 13:50:27.235184,2023-06-29 13:50:39.965359,0 days 00:00:12.730175,goss,0.6691061971431227,0.005200108797528746,38,5,11,33,3.842906936953294e-07,1.209348847831395,3,COMPLETE,2365
794,794,0.18721928103961202,2023-06-29 14:01:26.300513,2023-06-29 14:01:29.276736,0 days 00:00:02.976223,goss,0.5395196822387044,0.03025126696715341,52,5,10,61,8.555670353092214e-06,4.218360461247212e-08,3,COMPLETE,412
511,511,0.18722271788915484,2023-06-29 13:38:10.027337,2023-06-29 13:38:23.927501,0 days 00:00:13.900164,goss,0.5414092949729679,0.004078792074491476,38,5,8,32,1.391464323079654e-07,2.3026530182787734e-05,6,COMPLETE,2384
632,632,0.18729224113668436,2023-06-29 13:46:03.487680,2023-06-29 13:46:05.028733,0 days 00:00:01.541053,goss,0.6896624083044184,0.08487053954212251,40,5,8,27,1.072105603075797e-05,1.6343079886987036e-05,6,COMPLETE,142
