,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_learning_rate,params_max_leaves,params_min_data_in_leaf,params_random_strength,params_subsample,state,params_n_estimators
259,259,0.23262744691511156,2023-07-12 22:01:49.794420,2023-07-12 22:01:55.457223,0 days 00:00:05.662803,,,MVS,0.330152844737668,9,Depthwise,18.362725607967672,0.04485324167285804,,26,47.60053445641868,0.3131396735945315,COMPLETE,757
778,778,0.2326363523169943,2023-07-13 00:59:39.003648,2023-07-13 00:59:48.674200,0 days 00:00:09.670552,,,MVS,0.3321832859282105,9,Depthwise,36.52625535471478,0.04940829782761473,,32,67.21413611814354,0.9844605480748803,COMPLETE,2278
99,99,0.23264406566296691,2023-07-12 21:17:19.067210,2023-07-12 21:17:29.904242,0 days 00:00:10.837032,,,MVS,0.4236728995687983,9,Depthwise,56.70778588484612,0.020047607873657593,,38,33.68387497470352,0.3736150002763699,COMPLETE,1747
118,118,0.23268955757113913,2023-07-12 21:21:47.554326,2023-07-12 21:22:02.316588,0 days 00:00:14.762262,,,MVS,0.36259609196908893,9,Depthwise,50.47766426527222,0.01588096243497878,,35,34.26413505377409,0.36447530856699933,COMPLETE,1953
567,567,0.23269482259829968,2023-07-12 23:26:41.964060,2023-07-12 23:27:17.315248,0 days 00:00:35.351188,,,MVS,0.4255065662967313,10,Depthwise,56.10830305860772,0.007541318503761521,,26,94.3744314917413,0.4053960421836088,COMPLETE,1164
720,720,0.23269793142791104,2023-07-13 00:35:34.252015,2023-07-13 00:35:38.687793,0 days 00:00:04.435778,,,MVS,0.5605331136387893,8,Depthwise,21.185356121429432,0.05337862588488174,,31,47.73499666891811,0.32830458863785755,COMPLETE,1208
71,71,0.2327848651495702,2023-07-12 21:03:53.547518,2023-07-12 21:04:10.377676,0 days 00:00:16.830158,,,MVS,0.5123843445822232,9,Depthwise,39.65878968374183,0.017760726594414144,,25,25.15907886007534,0.49579255401097233,COMPLETE,546
560,560,0.23279098600016876,2023-07-12 23:23:01.475307,2023-07-12 23:23:14.416431,0 days 00:00:12.941124,,,MVS,0.505946949962344,7,Depthwise,11.902824358133781,0.013911798771703291,,28,51.38808452723334,0.4577474064502607,COMPLETE,1066
231,231,0.23282438547388673,2023-07-12 21:56:40.668835,2023-07-12 21:56:59.316747,0 days 00:00:18.647912,,,MVS,0.4190693835865617,9,Depthwise,14.310581747419144,0.010170366894909294,,29,48.0535507989659,0.4723900729548213,COMPLETE,1170
97,97,0.23283369020935374,2023-07-12 21:16:31.155611,2023-07-12 21:16:53.862955,0 days 00:00:22.707344,,,MVS,0.41511132524556205,9,Depthwise,74.02962177555246,0.016581772026846166,,24,30.258188531584036,0.4270783268493294,COMPLETE,459
165,165,0.23283452214548528,2023-07-12 21:31:31.295942,2023-07-12 21:31:40.498110,0 days 00:00:09.202168,,,MVS,0.3380274882363623,10,Depthwise,16.485892051431016,0.021468908069835053,,24,46.09861341913647,0.343027004664253,COMPLETE,734
225,225,0.23290612992657816,2023-07-12 21:55:52.359629,2023-07-12 21:56:00.611623,0 days 00:00:08.251994,,,MVS,0.40982823459239043,9,Depthwise,57.523417565626204,0.03452274075726096,,30,15.207747068433129,0.35379936653465816,COMPLETE,1654
995,995,0.23292710999802974,2023-07-13 03:36:33.611489,2023-07-13 03:36:41.718056,0 days 00:00:08.106567,,,MVS,0.3668208787318741,10,Depthwise,69.19248934875486,0.043242643077802824,,31,81.80242176208802,0.410800845982984,COMPLETE,1864
226,226,0.2329286477800007,2023-07-12 21:56:00.612962,2023-07-12 21:56:10.686051,0 days 00:00:10.073089,,,MVS,0.5760682618338346,10,Depthwise,17.57767666983398,0.02645278168061389,,21,22.885646975139274,0.4006860597453431,COMPLETE,2667
466,466,0.23293018971089888,2023-07-12 23:02:00.862213,2023-07-12 23:02:06.741407,0 days 00:00:05.879194,,,MVS,0.6685559548486727,10,Depthwise,4.313367690936283,0.03398675261866644,,30,55.48069734078757,0.3249134072879602,COMPLETE,828
993,993,0.2330356287321012,2023-07-13 03:35:56.680958,2023-07-13 03:36:19.806943,0 days 00:00:23.125985,,,MVS,0.42070205475713957,10,Depthwise,10.360116915907033,0.010989052186154778,,34,63.275415371860326,0.8510255445806215,COMPLETE,1136
45,45,0.23304556025849815,2023-07-12 20:50:39.491918,2023-07-12 20:50:42.803050,0 days 00:00:03.311132,,,MVS,0.3760755380078546,8,Depthwise,6.164060056599281,0.05424589557734184,,48,73.66226161204689,0.4452051113284637,COMPLETE,597
386,386,0.23305393285849108,2023-07-12 22:37:23.966346,2023-07-12 22:37:30.284054,0 days 00:00:06.317708,,,MVS,0.4478315716802025,8,Depthwise,44.992679674458664,0.05164108823236351,,30,89.4233158407994,0.4043658827921687,COMPLETE,546
991,991,0.23307357934172024,2023-07-13 03:34:41.032586,2023-07-13 03:35:33.957902,0 days 00:00:52.925316,,,MVS,0.7375405240449531,10,Lossguide,17.698139092846432,0.006438111937553375,82.0,29,56.57584595141122,0.7557392481051324,COMPLETE,601
408,408,0.2330928137547773,2023-07-12 22:45:35.218368,2023-07-12 22:46:11.036531,0 days 00:00:35.818163,,,MVS,0.46502408885217056,10,Depthwise,18.485126428624714,0.008733009401479069,,35,62.513799049118774,0.811924397890878,COMPLETE,1266
149,149,0.23309338146599373,2023-07-12 21:29:32.976716,2023-07-12 21:29:45.445642,0 days 00:00:12.468926,,,MVS,0.37019653554833937,8,Depthwise,97.2601182019876,0.03701561405136503,,22,46.79638260569305,0.3345181663412459,COMPLETE,785
693,693,0.23313233625467936,2023-07-13 00:21:29.255018,2023-07-13 00:21:34.685026,0 days 00:00:05.430008,,,MVS,0.43830230795126945,8,Depthwise,14.707614923870253,0.03276439181895938,,31,35.1670483288099,0.3319213547980992,COMPLETE,891
142,142,0.2331485727472678,2023-07-12 21:27:58.222023,2023-07-12 21:28:08.196033,0 days 00:00:09.974010,,,MVS,0.3209726288500691,9,Depthwise,29.845364872641493,0.02346478805023779,,26,24.815701723723144,0.3880440806383317,COMPLETE,1518
541,541,0.23316947438930918,2023-07-12 23:18:50.892482,2023-07-12 23:18:57.107342,0 days 00:00:06.214860,,,MVS,0.7825205383504731,10,Depthwise,66.40516175246414,0.05913933321207713,,29,72.68748846342088,0.32769127251903934,COMPLETE,1793
131,131,0.23317116323269316,2023-07-12 21:24:02.680329,2023-07-12 21:24:13.098926,0 days 00:00:10.418597,,,MVS,0.38060201492089757,9,Depthwise,45.67733369163663,0.01682358428360519,,39,37.97890252903298,0.3532834959521721,COMPLETE,2208
73,73,0.23317805586383636,2023-07-12 21:04:22.912348,2023-07-12 21:04:36.889737,0 days 00:00:13.977389,,,MVS,0.475923466386884,10,Depthwise,21.706995159893424,0.0150496473680857,,28,26.086438689876204,0.4551926098243847,COMPLETE,2374
200,200,0.2331857946721189,2023-07-12 21:50:56.730385,2023-07-12 21:51:03.179603,0 days 00:00:06.449218,,,MVS,0.3704475634506194,7,Depthwise,39.4364695535735,0.03526946659848895,,29,52.69016507135396,0.30268678510734753,COMPLETE,1919
103,103,0.2331947667145382,2023-07-12 21:18:03.371441,2023-07-12 21:18:11.372343,0 days 00:00:08.000902,,,MVS,0.397740658732085,9,Depthwise,30.069533056981836,0.024366168648471458,,35,32.77616209239066,0.3727305555063406,COMPLETE,2658
736,736,0.23327125286668496,2023-07-13 00:40:26.774515,2023-07-13 00:40:35.765151,0 days 00:00:08.990636,,,MVS,0.3062011634685792,10,Depthwise,3.5691191757534977,0.013442686820865146,,36,29.826263682205784,0.3001727370076007,COMPLETE,1099
457,457,0.23327307667440075,2023-07-12 23:00:01.220279,2023-07-12 23:00:06.318773,0 days 00:00:05.098494,,,MVS,0.415819991564254,10,Depthwise,36.56680760187094,0.049699129876350834,,31,86.04246204365616,0.3110003596779669,COMPLETE,2024
669,669,0.23327473008610597,2023-07-13 00:07:01.497712,2023-07-13 00:07:49.219915,0 days 00:00:47.722203,,,MVS,0.3601043492257877,10,Depthwise,17.602820433565114,0.0031284375149476878,,34,69.19736649702389,0.43623929217864466,COMPLETE,966
970,970,0.23327793900000063,2023-07-13 03:17:20.399220,2023-07-13 03:17:27.347182,0 days 00:00:06.947962,,,MVS,0.6369707801976563,10,Depthwise,12.105401386906857,0.038794420482658895,,32,47.62134391279504,0.5685150072121256,COMPLETE,901
114,114,0.23329859341701337,2023-07-12 21:19:55.448515,2023-07-12 21:20:04.318814,0 days 00:00:08.870299,,,MVS,0.43391285616575537,9,Depthwise,48.417904767398994,0.024235057836196283,,40,40.043657115330475,0.4013383565795544,COMPLETE,556
127,127,0.23333399449740252,2023-07-12 21:23:25.726584,2023-07-12 21:23:34.063544,0 days 00:00:08.336960,,,MVS,0.42703308249736144,7,Depthwise,27.470175042445366,0.027620366059442552,,30,19.65241391390506,0.41861008560217633,COMPLETE,522
293,293,0.23333855419215072,2023-07-12 22:13:24.156395,2023-07-12 22:13:31.197747,0 days 00:00:07.041352,,,MVS,0.40664230353679975,10,Depthwise,10.910587947686707,0.03578828719643339,,23,51.70415126881374,0.4120298974129697,COMPLETE,496
795,795,0.23342026627102397,2023-07-13 02:09:12.597075,2023-07-13 02:09:26.944951,0 days 00:00:14.347876,,,MVS,0.4738122504320326,10,Depthwise,99.62819631290283,0.03696897568176536,,20,56.4107648837489,0.37192980714892454,COMPLETE,426
510,510,0.23343432075439594,2023-07-12 23:11:42.278218,2023-07-12 23:12:42.078075,0 days 00:00:59.799857,,,MVS,0.6412488181643369,10,Depthwise,15.147299361648576,0.002968795209933707,,24,62.31910910341428,0.3335895609381838,COMPLETE,739
523,523,0.23347488292946633,2023-07-12 23:14:39.644206,2023-07-12 23:14:48.863215,0 days 00:00:09.219009,,,MVS,0.6613761217621615,8,Depthwise,64.13350325020043,0.040838447263315966,,32,43.91816990022946,0.429752095132193,COMPLETE,843
441,441,0.23347681442700957,2023-07-12 22:51:48.275972,2023-07-12 22:51:54.482341,0 days 00:00:06.206369,,,MVS,0.42068332789360247,10,Depthwise,10.073381301971542,0.03434157591840317,,28,93.33777452499233,0.32717516507793043,COMPLETE,636
190,190,0.23348567387397284,2023-07-12 21:49:47.725105,2023-07-12 21:49:57.264772,0 days 00:00:09.539667,,,Bernoulli,0.4410887304638217,10,Depthwise,45.01297971173091,0.0486858887467463,,18,49.75400417066083,0.3433104075727372,COMPLETE,261
420,420,0.2335029312760776,2023-07-12 22:48:45.014885,2023-07-12 22:49:16.813130,0 days 00:00:31.798245,,,MVS,0.4767386235603217,10,Depthwise,32.73785243151946,0.00579670983145659,,29,3.358160317102193,0.4313870314182648,COMPLETE,559
568,568,0.23353272851937568,2023-07-12 23:27:17.316815,2023-07-12 23:27:26.055007,0 days 00:00:08.738192,,,MVS,0.5564896564781188,10,Depthwise,6.34089414149875,0.04310490005457519,,23,62.45162926365085,0.6818797603839106,COMPLETE,766
823,823,0.233538823457992,2023-07-13 02:20:02.917668,2023-07-13 02:20:11.519843,0 days 00:00:08.602175,,,MVS,0.46261296181632755,8,Depthwise,16.7965532682021,0.03212649833924908,,34,22.557549497988532,0.8545720593636078,COMPLETE,651
946,946,0.23361339761014502,2023-07-13 03:08:28.886410,2023-07-13 03:08:51.927483,0 days 00:00:23.041073,,,MVS,0.730879977505891,10,Depthwise,19.93726832519469,0.012021716943164113,,31,24.33968085668414,0.6301868363675951,COMPLETE,790
301,301,0.23368650006814778,2023-07-12 22:14:59.062016,2023-07-12 22:15:04.168379,0 days 00:00:05.106363,,,MVS,0.6639360675221948,8,Depthwise,14.786813428370305,0.06285635200653122,,22,39.156124194773774,0.3117392838920968,COMPLETE,390
209,209,0.23372374265654866,2023-07-12 21:52:54.945376,2023-07-12 21:52:58.513133,0 days 00:00:03.567757,,,MVS,0.37071964984956557,10,Depthwise,30.71949845187266,0.08365792642855595,,25,11.938579054717243,0.3205546535478209,COMPLETE,910
446,446,0.23372654992009603,2023-07-12 22:52:17.530348,2023-07-12 22:52:24.692220,0 days 00:00:07.161872,,,MVS,0.5698814521833325,10,Depthwise,12.186605027163324,0.04052265147625384,,25,91.59279333929278,0.37400246419033817,COMPLETE,318
77,77,0.2337307531739699,2023-07-12 21:10:06.466887,2023-07-12 21:10:26.498606,0 days 00:00:20.031719,,,MVS,0.506652794202024,9,Depthwise,5.171611831654828,0.012033925302334953,,20,25.725751725668395,0.46695070543288825,COMPLETE,917
600,600,0.23375336815951359,2023-07-12 23:38:03.421519,2023-07-12 23:38:07.049980,0 days 00:00:03.628461,,,MVS,0.6095096294123247,8,Depthwise,19.687906989782757,0.07171461690636212,,41,46.46745404532924,0.3499107732231598,COMPLETE,667
