,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state
562,562,0.19461311652225882,2023-06-22 20:13:35.253487,2023-06-22 20:13:37.074777,0 days 00:00:01.821290,goss,0.48385832176290683,0.16403067917754813,199,7,10,61,4.411771144377215e-07,0.02152394522133576,,1,COMPLETE
447,447,0.1947101111917704,2023-06-22 20:04:50.871290,2023-06-22 20:04:52.531117,0 days 00:00:01.659827,goss,0.45965649589936225,0.09794891008053218,52,4,12,80,1.0293384725306415e-08,0.0004107087644132746,,1,COMPLETE
775,775,0.19476294322929694,2023-06-22 20:36:10.315974,2023-06-22 20:36:11.911752,0 days 00:00:01.595778,goss,0.41567082519230564,0.1188669999775161,36,4,15,99,2.5379602643586896e-07,0.00016870835140767948,,1,COMPLETE
136,136,0.194870028448542,2023-06-22 19:45:16.654937,2023-06-22 19:45:19.209056,0 days 00:00:02.554119,goss,0.5538991332082555,0.0623191069373105,89,9,21,89,2.903088583235946e-06,1.0590693040874077e-07,,2,COMPLETE
625,625,0.19487940528209236,2023-06-22 20:20:42.479634,2023-06-22 20:20:44.548232,0 days 00:00:02.068598,goss,0.46916689884495194,0.09112669650197731,67,9,15,80,2.8516183619598534e-08,5.466955289730184e-07,,1,COMPLETE
196,196,0.1949005784564175,2023-06-22 19:48:22.685611,2023-06-22 19:48:25.910563,0 days 00:00:03.224952,goss,0.522016909862189,0.0374015125635989,172,4,16,57,1.6130693070369e-06,6.394046863456854e-08,,3,COMPLETE
485,485,0.19490553992968562,2023-06-22 20:07:19.754644,2023-06-22 20:07:22.031420,0 days 00:00:02.276776,goss,0.6276830277272509,0.07494773914188138,44,5,15,90,1.6736470438435668e-08,3.4890356645120764e-05,,1,COMPLETE
154,154,0.19491625258350354,2023-06-22 19:46:20.048856,2023-06-22 19:46:24.166571,0 days 00:00:04.117715,goss,0.5190758134823674,0.042833880528852085,56,9,14,76,1.0354414419588878e-06,3.762847885382405e-08,,2,COMPLETE
43,43,0.19492375774191312,2023-06-22 19:40:39.263261,2023-06-22 19:40:41.959327,0 days 00:00:02.696066,goss,0.5882198510629225,0.08292627857162863,129,5,15,124,0.0002738826813211776,5.152302273261851e-07,,4,COMPLETE
98,98,0.19494680463058947,2023-06-22 19:43:30.079521,2023-06-22 19:43:32.157282,0 days 00:00:02.077761,goss,0.5484865305148401,0.11725437769400252,74,9,10,59,7.555510274883211e-05,3.054493329919808e-08,,3,COMPLETE
23,23,0.19506549840195714,2023-06-22 19:39:20.977876,2023-06-22 19:39:24.016761,0 days 00:00:03.038885,goss,0.5726393035340557,0.04865855854865107,53,6,11,61,2.9814470139043767e-05,1.2346204777080798e-06,,5,COMPLETE
267,267,0.19510123668063384,2023-06-22 19:52:44.566187,2023-06-22 19:52:46.830259,0 days 00:00:02.264072,goss,0.5238771677342354,0.06958841787004386,71,9,18,80,2.2477447471446022e-08,8.954128518712973e-06,,7,COMPLETE
143,143,0.1952237064562641,2023-06-22 19:45:35.881050,2023-06-22 19:45:39.001209,0 days 00:00:03.120159,goss,0.5503821491212039,0.04798336014456903,73,9,15,77,1.3894043940899592e-06,3.443038085555973e-08,,2,COMPLETE
871,871,0.19524059881391806,2023-06-22 20:49:32.233748,2023-06-22 20:49:34.341632,0 days 00:00:02.107884,goss,0.47848894446184287,0.08905227703057111,55,4,17,59,4.746065520252985e-07,0.00014949342418207385,,1,COMPLETE
711,711,0.19533484432370174,2023-06-22 20:30:40.548471,2023-06-22 20:30:42.958321,0 days 00:00:02.409850,goss,0.4926872059298475,0.058889008649520395,41,4,12,65,3.604107269987316e-05,3.677950228616933e-08,,1,COMPLETE
